=== QC35 II acorn_coeffs (ANC coefficient blob) ===
VERSION     BYTES  SHA256
2.0.1       32944  742d676712cd1c254acd5887affbacedfb2ffab59257e8c4d4d8a0b77dbd7da7
2.1.3       32944  742d676712cd1c254acd5887affbacedfb2ffab59257e8c4d4d8a0b77dbd7da7
2.2.0       32944  742d676712cd1c254acd5887affbacedfb2ffab59257e8c4d4d8a0b77dbd7da7
2.2.1       32944  742d676712cd1c254acd5887affbacedfb2ffab59257e8c4d4d8a0b77dbd7da7
2.5.1       32944  742d676712cd1c254acd5887affbacedfb2ffab59257e8c4d4d8a0b77dbd7da7
3.1.7       32944  742d676712cd1c254acd5887affbacedfb2ffab59257e8c4d4d8a0b77dbd7da7
3.1.8       32944  742d676712cd1c254acd5887affbacedfb2ffab59257e8c4d4d8a0b77dbd7da7
4.1.3       32944  742d676712cd1c254acd5887affbacedfb2ffab59257e8c4d4d8a0b77dbd7da7
4.3.6       32944  742d676712cd1c254acd5887affbacedfb2ffab59257e8c4d4d8a0b77dbd7da7
4.5.2       32944  742d676712cd1c254acd5887affbacedfb2ffab59257e8c4d4d8a0b77dbd7da7
4.8.1       39568  46ec45d321717ba643702138938564c6949623b5300de99490a3e462609342b1

=== QC35 gen1 acorn_coeffs ===
VERSION     BYTES  SHA256
1.0.0       25280  ac2582fc2882228317259fabebf1f11bc29885bd5dccf530dc98bdb6252226fe
1.0.3       25280  ac2582fc2882228317259fabebf1f11bc29885bd5dccf530dc98bdb6252226fe
1.0.4       25280  ac2582fc2882228317259fabebf1f11bc29885bd5dccf530dc98bdb6252226fe
1.0.5       25280  ac2582fc2882228317259fabebf1f11bc29885bd5dccf530dc98bdb6252226fe
1.0.6       25280  ac2582fc2882228317259fabebf1f11bc29885bd5dccf530dc98bdb6252226fe
1.2.9       25280  ac2582fc2882228317259fabebf1f11bc29885bd5dccf530dc98bdb6252226fe
1.3.2       32944  6599e5922e40d4884c9e7da9113ebf8f00d0fb51a3102d39c06cc0407d1f49da
1.3.6       32944  6599e5922e40d4884c9e7da9113ebf8f00d0fb51a3102d39c06cc0407d1f49da
1.5.1       32944  6599e5922e40d4884c9e7da9113ebf8f00d0fb51a3102d39c06cc0407d1f49da
2.5.3       32944  6599e5922e40d4884c9e7da9113ebf8f00d0fb51a3102d39c06cc0407d1f49da
2.5.5       32944  6599e5922e40d4884c9e7da9113ebf8f00d0fb51a3102d39c06cc0407d1f49da
3.0.3       32944  6599e5922e40d4884c9e7da9113ebf8f00d0fb51a3102d39c06cc0407d1f49da
