A: 1939792 bytes in 612 chunks | B: 1942460 bytes in 630 chunks
A bytes present in B: 1232143 (63.52%)
B bytes present in A: 1232143 (63.43%)

B chunks NOT found in A (genuinely new/changed content):
  offset 0x0000000-0x00019D2    6610 bytes
  offset 0x00CBCC6-0x00D0C2F   20329 bytes
  offset 0x00FFE48-0x010097B    2867 bytes
  offset 0x0116D11-0x011B883   19314 bytes
  offset 0x012F4EC-0x0130355    3689 bytes
  offset 0x0130355-0x0131459    4356 bytes
  offset 0x0131459-0x0132104    3243 bytes
  offset 0x0136C20-0x0136F81     865 bytes
  offset 0x01372C8-0x013788A    1474 bytes
  offset 0x013788A-0x0137F8E    1796 bytes
  offset 0x0137F8E-0x013A31E    9104 bytes
  offset 0x013A31E-0x013CD53   10805 bytes
  offset 0x013CD53-0x013DC3A    3815 bytes
  offset 0x013DC3A-0x013E6C0    2694 bytes
  offset 0x013E6C0-0x013ECA9    1513 bytes
  offset 0x013ECA9-0x014078D    6884 bytes
  offset 0x014078D-0x0140C18    1163 bytes
  offset 0x0140C18-0x0140E25     525 bytes
  offset 0x0140E25-0x0141010     491 bytes
  offset 0x0141010-0x01415B7    1447 bytes
  offset 0x01415B7-0x0141E7B    2244 bytes
  offset 0x0141E7B-0x014203A     447 bytes
  offset 0x014203A-0x0142C19    3039 bytes
  offset 0x0142C19-0x0142FC3     938 bytes
  offset 0x0142FC3-0x01431A0     477 bytes
  offset 0x01431A0-0x01434CA     810 bytes
  offset 0x01434CA-0x01437DA     784 bytes
  offset 0x01437DA-0x01457DF    8197 bytes
  offset 0x01457DF-0x0146449    3178 bytes
  offset 0x0146449-0x0147722    4825 bytes
  offset 0x0147722-0x0147EA1    1919 bytes
  offset 0x0147EA1-0x0148128     647 bytes
  offset 0x0148128-0x0148334     524 bytes
  offset 0x0148334-0x0148A43    1807 bytes
  offset 0x0148A43-0x0149AB9    4214 bytes
  offset 0x0149AB9-0x014A084    1483 bytes
  offset 0x014A084-0x014AB62    2782 bytes
  offset 0x014AB62-0x014AD6B     521 bytes
  offset 0x014AD6B-0x014B37C    1553 bytes
  offset 0x014B37C-0x014BFFB    3199 bytes
  offset 0x014BFFB-0x014CDF9    3582 bytes
  offset 0x014CDF9-0x014D69C    2211 bytes
  offset 0x014D69C-0x014D81A     382 bytes
  offset 0x014D81A-0x014E294    2682 bytes
  offset 0x014E294-0x014EA24    1936 bytes
  offset 0x014EA24-0x014F081    1629 bytes
  offset 0x014F081-0x015002E    4013 bytes
  offset 0x015002E-0x0150C2A    3068 bytes
  offset 0x0150C2A-0x0153881   11351 bytes
  offset 0x0153881-0x0153F9E    1821 bytes
  offset 0x0153F9E-0x0154DB7    3609 bytes
  offset 0x0154DB7-0x0156343    5516 bytes
  offset 0x0156343-0x01569DC    1689 bytes
  offset 0x01569DC-0x0156BE9     525 bytes
  offset 0x0156BE9-0x0156E45     604 bytes
  offset 0x0156E45-0x015730E    1225 bytes
  offset 0x015730E-0x01582DE    4048 bytes
  offset 0x01582DE-0x01592F7    4121 bytes
  offset 0x01592F7-0x015AA75    6014 bytes
  offset 0x015AA75-0x015C848    7635 bytes
  offset 0x015C848-0x015CED6    1678 bytes
  offset 0x015CED6-0x015DB6D    3223 bytes
  offset 0x015DB6D-0x015E8AA    3389 bytes
  offset 0x015E8AA-0x015EB50     678 bytes
  offset 0x015EB50-0x016055D    6669 bytes
  offset 0x016055D-0x0160DE1    2180 bytes
  offset 0x0160DE1-0x0160FF2     529 bytes
  offset 0x0160FF2-0x0161895    2211 bytes
  offset 0x0161895-0x01619E2     333 bytes
  offset 0x01619E2-0x016444B   10857 bytes
  offset 0x016444B-0x0165C78    6189 bytes
  offset 0x0165C78-0x0166E7F    4615 bytes
  offset 0x0166E7F-0x0167411    1426 bytes
  offset 0x0167411-0x0167A01    1520 bytes
  offset 0x0167A01-0x016801B    1562 bytes
  offset 0x016801B-0x01683DC     961 bytes
  offset 0x01683DC-0x0168E2E    2642 bytes
  offset 0x0168E2E-0x016967E    2128 bytes
  offset 0x01697C8-0x0169D31    1385 bytes
  offset 0x0169D31-0x016AD3D    4108 bytes
  offset 0x016AD3D-0x016C187    5194 bytes
  offset 0x016C187-0x016C559     978 bytes
  offset 0x016C559-0x016C6E9     400 bytes
  offset 0x016C6E9-0x016CB8F    1190 bytes
  offset 0x016CB8F-0x0170135   13734 bytes
  offset 0x0170135-0x0171B32    6653 bytes
  offset 0x0171B32-0x01721D8    1702 bytes
  offset 0x01721D8-0x0173DAE    7126 bytes
  offset 0x0173DAE-0x017606D    8895 bytes
  offset 0x017606D-0x01761AD     320 bytes
  offset 0x01761AD-0x0176322     373 bytes
  offset 0x0176322-0x017725C    3898 bytes
  offset 0x017725C-0x0177F52    3318 bytes
  offset 0x0177F52-0x0178E47    3829 bytes
  offset 0x0178E47-0x0179311    1226 bytes
  offset 0x0179311-0x01796C6     949 bytes
  offset 0x01796C6-0x017AEBC    6134 bytes
  offset 0x017AEBC-0x017B002     326 bytes
  offset 0x017B002-0x017B35A     856 bytes
  offset 0x017B35A-0x017B4A3     329 bytes
  offset 0x017B4A3-0x017B904    1121 bytes
  offset 0x017B904-0x017BA46     322 bytes
